name,longitude,latitude
EL ARENOSILLO,-6.7341,37.1041
MAZAGON,-6.80745,37.13379
NIEBLA,-6.6769,37.3613
LA RÁBIDA,-6.92027,37.19977
PALOS,-6.88858,37.21925
TORREARENILLA,-6.90453,37.19033
PUNTA UMBRÍA,-6.96414,37.18568
SAN JUÁN DEL PUERTO,-6.84463,37.3154
VALVERDE,-6.75555,37.57978
HUESCA,-0.40389,42.13611
MONZÓN,0.19694,41.91861
MONZÓN CENTRO,0.191101,41.91614
TORRELISA,0.1819,42.4578
UM1 SABIÑANIGO,-0.366271,42.527395
SARIÑENA ESCUELAS,-0.15611,41.79778
SARIÑENA LAVADERO,-0.15583,41.80083
BAILÉN,-3.78392,38.09293
RONDA DEL VALLE,-3.78157,37.78255
LAS FUENTEZUELAS,-3.81032,37.78444
VILLANUEVA DEL ARZOBISPO,-3.01022,38.174396
LARIO,-5.0897,43.0414
CORTIGUERA,-6.6433,42.6117
CARRACEDELO,-6.7256,42.5586
CONGOSTO,-6.5208,42.6256
CUADROS,-5.6389,42.7156
CUBILLOS DEL SIL-FESE,-6.56827,42.61797
LILLO,-6.6039,42.7814
BARRIO PINILLA,-5.5872,42.6039
LEÓN 4,-5.5664,42.5753
LEÓN-IES JUAN DEL ENCINA,-5.5708,42.599
PALACIOS DEL SIL,-6.44,42.8778
PONFERRADA 4,-6.58472222,42.54277777
PONFERRADA 6,-6.6036,42.5507
LA ROBLA,-5.6236,42.8028
TUDELA VEGUÍN,-5.64889,42.80167
CUETO,-6.6497,42.6321
VALDERAS,-5.4489,42.0797
OTERO,-6.78194444,42.56444444
TORAL DE LOS VADOS,-6.72555555,42.545
TORAL DEL LOS VADOS-B(A)P,-6.77554,42.54529
BELLVER DE CERDANYA (CEIP MARE DE DÉU DE TALLÓ),1.7768,42.3683
BELLVER DE CERDANYA (EL TALLÓ),1.7797,42.3629
JUNEDA (PLA DEL MOLÍ),0.829933196,41.544104651
LLEIDA (IRURITA - PIUS XII),0.6157,41.6158
PONTS (PONENT),1.192974755,41.906647654
MONTSEC (OAM),0.729555647,42.051340687
SORT (ESCOLA DE CAIAC),1.13,42.40538
ELS TORMS,0.734167,41.393333
ALFARO,-1.744,42.176
ARRÚBAL,-2.239,42.44
